AYEAR,UNIV_PROVINCE_NAME,U_G,UNIV_TYPE_NAME,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_TH,GENDER_NAME,AMOUNT
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,ปริญญาตรี,หญิง,7
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,ปริญญาเอก,ชาย,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,ปริญญาโท,ชาย,2
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,ปริญญาโท,หญิง,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,เทคโนโลยีการผลิตขั้นสูง,ปริญญาเอก,ชาย,4
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,เทคโนโลยีการผลิตขั้นสูง,ปริญญาโท,ชาย,3
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,ไฟฟ้า,ประกาศนียบัตรวิชาชีพชั้นสูง,ชาย,15
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,ไฟฟ้า,ประกาศนียบัตรวิชาชีพชั้นสูง,หญิง,6
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะนิติศาสตร์,นิติศาสตร์,ปริญญาตรี,ชาย,343
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะนิติศาสตร์,นิติศาสตร์,ปริญญาตรี,หญิง,274
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะบริหารธุรกิจ,การจัดการ,ปริญญาตรี,ชาย,40
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะบริหารธุรกิจ,การจัดการ,ปริญญาตรี,หญิง,73
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะบริหารธุรกิจ,การจัดการธุรกิจบริการ,ปริญญาตรี,หญิง,2
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยรัฐไม่จำกัดรับ,มหาวิทยาลัยรามคำแหง,คณะบริหารธุรกิจ,การตลาด,ปริญญาตรี,ชาย,14
